"","Event.Date","State","Latitude","Longitude","Injury.Severity","Aircraft.Damage","Amateur.Built","Purpose.of.Flight"
"62",2018-03-12," WA "," 47.905000 "," -122.102778 "," Non-Fatal "," Substantial "," No "," Personal "
"63",2018-03-12," SD "," 44.012778 "," -97.086666 "," Non-Fatal "," Substantial "," No "," Instructional "
"64",2018-03-12," AZ "," 31.909167 "," -111.120834 "," Non-Fatal "," Substantial "," No "," Personal "
"66",2018-03-11," WA "," 48.160278 "," -122.165000 "," Non-Fatal "," Substantial "," Yes "," Personal "
"67",2018-03-11," WA ","  ","  "," Fatal"," Destroyed "," No "," Personal "
"68",2018-03-11," MA "," 42.470278 "," -71.289722 "," Non-Fatal "," Substantial "," No "," Personal "
"69",2018-03-11," NY "," 42.697777 "," -74.198889 "," Non-Fatal "," Substantial "," Yes "," Personal "
"70",2018-03-11," IA "," 41.886389 "," -91.706944 "," Non-Fatal "," Substantial "," No "," Personal "
"72",2018-03-10," CA ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"73",2018-03-10," OR "," 44.121667 "," -123.215833 "," Non-Fatal "," Substantial "," No "," Personal "
"74",2018-03-10," FL ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"76",2018-03-10," TX "," 32.958889 "," -96.831667 "," Non-Fatal "," Substantial "," No "," Instructional "
"77",2018-03-09," WI "," 43.984444 "," -88.556944 "," Non-Fatal "," Substantial "," No "," Instructional "
"78",2018-03-09," WA "," 48.498611 "," -122.662500 "," Non-Fatal "," Substantial "," No "," Personal "
"79",2018-03-09," WA "," 48.470556 "," -122.421667 "," Non-Fatal "," Substantial "," No "," Personal "
"80",2018-03-08," LA "," 31.546666 "," -93.490833 "," Non-Fatal "," Substantial "," No "," Personal "
"81",2018-03-08," TX "," 32.036666 "," -102.101667 "," Non-Fatal "," Substantial "," No "," Personal "
"82",2018-03-08," TX ","  ","  "," Non-Fatal "," Destroyed "," Yes "," Business "
"83",2018-03-08," TX ","  ","  "," Fatal"," Destroyed "," No "," Personal "
"84",2018-03-07," AR ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"85",2018-03-07," FL "," 27.988055 "," -82.019723 "," Non-Fatal "," Substantial "," No "," Instructional "
"89",2018-03-06," MD "," 39.566945 "," -76.202500 "," Non-Fatal "," Substantial "," No "," Personal "
"90",2018-03-06," FL "," 29.659444 "," -81.669167 "," Non-Fatal "," Substantial "," Yes "," Personal "
"91",2018-03-05," UT ","  ","  "," Non-Fatal "," Substantial "," Yes "," Personal "
"92",2018-03-05," SC "," 32.412222 "," -80.634444 "," Fatal"," Substantial "," Yes "," Personal "
"93",2018-03-04," WA ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"94",2018-03-04," WA "," 45.630278 "," -122.678056 "," Non-Fatal "," Substantial "," No "," Personal "
"96",2018-03-02," FL "," 27.653889 "," -80.422778 "," Non-Fatal "," Substantial "," No "," Instructional "
"98",2018-03-02," TX "," 33.520000 "," -95.336666 "," Non-Fatal "," Substantial "," No "," Personal "
"99",2018-03-01," TX "," 32.301389 "," -96.372223 "," Non-Fatal "," Destroyed "," No "," Personal "
"100",2018-03-01," FL "," 26.248611 "," -80.118056 "," Non-Fatal "," Substantial "," No "," Personal "
"103",2018-02-28," TX "," 31.215833 "," -97.365556 "," Non-Fatal "," Substantial "," No "," Personal "
"104",2018-02-28," OR "," 45.926945 "," -118.130834 "," Non-Fatal "," Substantial "," No "," Instructional "
"105",2018-02-28," MD "," 38.288055 "," -75.091944 "," Fatal"," Destroyed "," No "," Personal "
"106",2018-02-28," TX ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"108",2018-02-27," FL "," 29.430556 "," -81.676389 "," Fatal"," Substantial "," No "," Personal "
"109",2018-02-26," AZ "," 32.142222 "," -111.174445 "," Non-Fatal "," Substantial "," Yes "," Personal "
"114",2018-02-25," FL "," 28.706944 "," -81.581667 "," Non-Fatal "," Substantial "," No "," Personal "
"115",2018-02-25," FL "," 28.843333 "," -81.630000 "," Fatal"," Substantial "," No "," Personal "
"116",2018-02-24," AK "," 62.169445 "," -149.689722 "," Non-Fatal "," Substantial "," No "," Personal "
"117",2018-02-24," CA "," 38.593055 "," -121.838889 "," Non-Fatal "," Substantial "," No "," Business "
"119",2018-02-23," AZ "," 34.264444 "," -110.012778 "," Non-Fatal "," Substantial "," No "," Instructional "
"120",2018-02-23," FL "," 28.228056 "," -82.156111 "," Non-Fatal "," Substantial "," No "," Personal "
"121",2018-02-22," UT "," 37.781667 "," -109.173334 "," Fatal"," Destroyed "," No "," Personal "
"122",2018-02-22," KS "," 37.652778 "," -101.370556 "," Fatal"," Destroyed "," No "," Personal "
"123",2018-02-22," IN "," 40.464722 "," -86.612778 "," Fatal"," Destroyed "," No "," Business "
"124",2018-02-21," NV "," 40.825000 "," -115.791389 "," Non-Fatal "," Substantial "," No "," Personal "
"125",2018-02-21," CA "," 32.818889 "," -117.123056 "," Fatal"," Substantial "," No "," Personal "
"127",2018-02-21," GA "," 31.155556 "," -81.390555 "," Non-Fatal "," Substantial "," No "," Instructional "
"129",2018-02-20," FL "," 30.336389 "," -81.514444 "," Non-Fatal "," Substantial "," No "," Personal "
"131",2018-02-19," NV "," 39.049722 "," -119.794166 "," Fatal"," Substantial "," No "," Personal "
"133",2018-02-18," OH "," 40.903056 "," -82.255556 "," Non-Fatal "," Substantial "," No "," Personal "
"135",2018-02-18," WY "," 41.288055 "," -110.981945 "," Fatal"," Destroyed "," No "," Personal "
"136",2018-02-17," KY "," 38.058611 "," -83.980000 "," Non-Fatal "," Substantial "," No "," Personal "
"137",2018-02-17," AK "," 61.580000 "," -150.410000 "," Non-Fatal "," Substantial "," No "," Personal "
"139",2018-02-17," NM "," 34.761111 "," 106.745000 "," Non-Fatal "," Substantial "," Yes "," Personal "
"140",2018-02-16," GA "," 33.364722 "," -84.167778 "," Non-Fatal "," Substantial "," Yes "," Personal "
"141",2018-02-16," CO "," 39.908889 "," -105.117223 "," Non-Fatal "," Substantial "," No "," Personal "
"142",2018-02-16," CO "," 40.164444 "," -105.163611 "," Non-Fatal "," Substantial "," Yes "," Personal "
"143",2018-02-14," SC "," 32.491389 "," -79.544444 "," Non-Fatal "," Substantial "," No "," Instructional "
"144",2018-02-13," AZ "," 33.688333 "," -112.082500 "," Non-Fatal "," Substantial "," No "," Personal "
"147",2018-02-13," MI "," 42.450000 "," -84.263056 "," Non-Fatal "," Substantial "," No "," Personal "
"151",2018-02-12," WA "," 48.655000 "," -122.465278 "," Fatal"," Destroyed "," No "," Personal "
"152",2018-02-11," CA "," 34.012500 "," -118.453889 "," Non-Fatal "," Substantial "," Yes "," Personal "
"153",2018-02-11," CA "," 34.454722 "," -118.301111 "," Fatal"," Substantial "," Yes "," Personal "
"155",2018-02-11," NV "," 39.192222 "," -119.731667 "," Non-Fatal "," Substantial "," Yes "," Instructional "
"159",2018-02-10," NV "," 39.191111 "," -119.725834 "," Non-Fatal "," Substantial "," No "," Personal "
"160",2018-02-09," TX "," 32.966667 "," -97.275278 "," Non-Fatal "," Substantial "," No "," Personal "
"161",2018-02-09," NV "," 39.192222 "," -119.732500 "," Non-Fatal "," Substantial "," Yes "," Instructional "
"167",2018-02-08," MO "," 38.912222 "," -91.033334 "," Non-Fatal "," Substantial "," Yes "," Personal "
"169",2018-02-07," ND "," 46.920556 "," -96.815833 "," Non-Fatal "," Substantial "," No "," Personal "
"170",2018-02-06," CA "," 32.816667 "," -116.983334 "," Fatal"," Substantial "," No "," Personal "
"173",2018-02-05," GA "," 32.373889 "," -82.079723 "," Non-Fatal "," Substantial "," No "," Instructional "
"174",2018-02-05," AK "," 58.373334 "," -134.051111 "," Non-Fatal "," Substantial "," No "," Personal "
"175",2018-02-05," TX "," 29.976945 "," -99.089166 "," Non-Fatal "," Substantial "," Yes "," Personal "
"176",2018-02-05," FL "," 29.841944 "," -84.701111 "," Fatal"," Substantial "," Yes "," Personal "
"180",2018-02-03," KS ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"181",2018-02-02," NV "," 36.210556 "," -115.194444 "," Non-Fatal "," Substantial "," No "," Instructional "
"182",2018-02-02," CA "," 34.345555 "," -119.063056 "," Non-Fatal "," Substantial "," No "," Personal "
"187",2018-01-30," CA "," 33.654167 "," -117.871389 "," Fatal"," Destroyed "," No "," Personal "
"190",2018-01-29," CA "," 38.001111 "," -121.988611 "," Fatal"," Substantial "," No "," Personal "
"191",2018-01-29," CA "," 34.209722 "," -118.490000 "," Non-Fatal "," Substantial "," Yes "," Personal "
"192",2018-01-29," GA "," 33.134444 "," -84.321111 "," Non-Fatal "," Substantial "," No "," Instructional "
"193",2018-01-29," NY "," 40.621389 "," -73.273334 "," Non-Fatal "," Substantial "," No "," Instructional "
"194",2018-01-29," PA "," 39.791944 "," -79.478611 "," Non-Fatal "," Substantial "," No "," Business "
"197",2018-01-28," NY "," 44.297777 "," -75.246944 "," Non-Fatal "," Substantial "," Yes "," Personal "
"200",2018-01-27," AL "," 31.000000 "," -86.000000 "," Non-Fatal "," Substantial "," No "," Personal "
"201",2018-01-27," CT "," 41.520000 "," -72.820000 "," Non-Fatal "," Substantial "," No "," Personal "
"203",2018-01-26," NM "," 32.755556 "," -108.209722 "," Non-Fatal "," Substantial "," No "," Personal "
"205",2018-01-26," CO "," 40.440000 "," -105.007222 "," Non-Fatal "," Minor "," No "," Personal "
"206",2018-01-26," CO "," 40.440000 "," -105.007222 "," Non-Fatal "," Substantial "," No "," Personal "
"208",2018-01-25," FL "," 24.726111 "," -81.051389 "," Non-Fatal "," Substantial "," No "," Personal "
"210",2018-01-25," FL "," 27.031111 "," -80.433334 "," Non-Fatal "," Substantial "," Yes "," Personal "
"211",2018-01-24," TX "," 33.180278 "," -96.588611 "," Non-Fatal "," Substantial "," No "," Instructional "
"212",2018-01-24," TX "," 29.723334 "," -98.694444 "," Non-Fatal "," Substantial "," No "," Personal "
"213",2018-01-24," FL "," 26.120556 "," -80.140000 "," Non-Fatal "," Substantial "," No "," Instructional "
"214",2018-01-24," NE "," 41.196111 "," -96.112222 "," Non-Fatal "," Substantial "," No "," Instructional "
"219",2018-01-23," MN "," 45.659722 "," 94.930278 "," Fatal"," Substantial "," Yes "," Personal "
"220",2018-01-22," IL "," 38.571389 "," -90.154444 "," Non-Fatal "," Substantial "," No "," Instructional "
"221",2018-01-22," FL "," 26.338611 "," -81.663611 "," Fatal"," Destroyed "," No "," Personal "
"222",2018-01-22," TX ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"223",2018-01-21," NJ "," 41.200278 "," -74.623056 "," Non-Fatal "," Destroyed "," No "," Personal "
"224",2018-01-21," FL "," 26.729445 "," -80.311667 "," Non-Fatal "," Destroyed "," Yes "," Personal "
"225",2018-01-21," WV "," 39.000000 "," -77.000000 "," Non-Fatal "," Substantial "," No "," Instructional "
"227",2018-01-20," CA "," 38.776111 "," -122.992500 "," Non-Fatal "," Substantial "," No "," Personal "
"228",2018-01-20," IL "," 41.895000 "," -89.411389 "," Non-Fatal "," Substantial "," Yes "," Personal "
"229",2018-01-19," MT "," 48.495277 "," -110.963889 "," Non-Fatal "," Substantial "," No "," Personal "
"231",2018-01-19," TX "," 29.607222 "," -95.158611 "," Non-Fatal "," Substantial "," No "," Business "
"232",2018-01-18," AZ "," 32.320278 "," -111.251389 "," Non-Fatal "," Substantial "," Yes "," Personal "
"233",2018-01-18," AZ "," 32.320278 "," -111.251389 "," Non-Fatal "," Substantial "," Yes "," Personal "
"235",2018-01-18," CO "," 40.010278 "," 105.048055 "," Non-Fatal "," Substantial "," Yes "," Personal "
"236",2018-01-17," NV "," 39.499722 "," -119.768056 "," Non-Fatal "," Substantial "," No "," Personal "
"237",2018-01-17," CA "," 34.233334 "," -117.170556 "," Non-Fatal "," Substantial "," No "," Personal "
"238",2018-01-17," AZ "," 33.621111 "," -111.913333 "," Non-Fatal "," Substantial "," No "," Personal "
"240",2018-01-17," NM "," 36.704444 "," -104.286666 "," Fatal"," Destroyed "," No "," Personal "
"241",2018-01-15," NM "," 35.543055 "," -105.983056 "," Non-Fatal "," Substantial "," Yes "," Personal "
"243",2018-01-14," WA "," 48.522223 "," -123.024445 "," Non-Fatal "," Substantial "," Yes "," Personal "
"244",2018-01-14," AK "," 58.355556 "," -134.580000 "," Non-Fatal "," Substantial "," No "," Personal "
"245",2018-01-13," HI "," 21.307222 "," -158.070278 "," Non-Fatal "," Substantial "," Yes "," Personal "
"246",2018-01-13," OR "," 46.161389 "," -123.640277 "," Non-Fatal "," Substantial "," No "," Personal "
"247",2018-01-13," CA "," 36.463333 "," -116.880834 "," Non-Fatal "," Substantial "," Yes "," Personal "
"248",2018-01-13," CA "," 33.897777 "," -117.602500 "," Non-Fatal "," Substantial "," No "," Instructional "
"250",2018-01-13," TX "," 30.380000 "," -98.011111 "," Non-Fatal "," Substantial "," Yes "," Personal "
"251",2018-01-13," CO "," 40.168889 "," -105.172778 "," Non-Fatal "," Substantial "," No "," Personal "
"252",2018-01-13," OK "," 34.198611 "," -96.674445 "," Non-Fatal "," Substantial "," No "," Personal "
"254",2018-01-12," ID "," 44.142500 "," -115.314167 "," Non-Fatal "," Substantial "," No "," Personal "
"257",2018-01-11," NY "," 42.842777 "," -76.445277 "," Non-Fatal "," Substantial "," No "," Personal "
"258",2018-01-11," UT "," 40.145000 "," -111.667778 "," Non-Fatal "," Substantial "," No "," Personal "
"262",2018-01-10," PA "," 41.626389 "," -80.214167 "," Non-Fatal "," Substantial "," No "," Personal "
"266",2018-01-08," TX "," 32.730000 "," -99.309444 "," Non-Fatal "," Substantial "," No "," Personal "
"267",2018-01-06," OK "," 36.731945 "," -97.099722 "," Non-Fatal "," Substantial "," No "," Personal "
"270",2018-01-04," CO "," 38.505556 "," -107.729445 "," Non-Fatal "," Substantial "," Yes "," Personal "
"273",2018-01-02," OR "," 45.247222 "," -122.770000 "," Non-Fatal "," Substantial "," No "," Personal "
"274",2018-01-01," ID "," 43.611944 "," -116.504722 "," Non-Fatal "," Substantial "," No "," Personal "
"275",2018-01-01," VA "," 37.378056 "," -79.121389 "," Non-Fatal "," Substantial "," No "," Instructional "
"281",2017-12-29," CA "," 34.091666 "," -117.247777 "," Non-Fatal "," Substantial "," No "," Personal "
"283",2017-12-28," SD "," 44.484722 "," -103.788055 "," Non-Fatal "," Substantial "," No "," Personal "
"285",2017-12-27," CA "," 39.443055 "," -122.960278 "," Non-Fatal "," Substantial "," No "," Personal "
"287",2017-12-26," CA "," 33.673056 "," -117.866667 "," Non-Fatal "," Substantial "," No "," Personal "
"288",2017-12-25," CA "," 33.789166 "," -117.369167 "," Non-Fatal "," Substantial "," No "," Personal "
"291",2017-12-24," NC "," 35.490555 "," -82.058889 "," Non-Fatal "," Substantial "," No "," Personal "
"292",2017-12-24," WY "," 43.064167 "," -108.459722 "," Non-Fatal "," Substantial "," No "," Personal "
"293",2017-12-24," FL "," 27.946389 "," -81.774723 "," Fatal"," Destroyed "," No "," Personal "
"294",2017-12-23," OR "," 44.578611 "," -124.062778 "," Non-Fatal "," Substantial "," Yes "," Personal "
"295",2017-12-23," FL "," 28.405833 "," -81.837777 "," Non-Fatal "," Substantial "," No "," Instructional "
"297",2017-12-23," IA "," 41.344166 "," -92.662778 "," Fatal"," Substantial "," No "," Personal "
"300",2017-11-04," NM "," 32.666389 "," -107.214444 "," Fatal"," Substantial "," No "," Personal "
"301",2017-11-04," OK "," 36.787777 "," -98.670278 "," Fatal"," Destroyed "," No "," Instructional "
"302",2017-11-03," ID ","  ","  "," Fatal"," Substantial "," No "," Personal "
"304",2017-11-02," CA "," 40.508889 "," -122.293333 "," Non-Fatal "," Substantial "," No "," Instructional "
"305",2017-11-02," NV "," 36.210556 "," -115.194444 "," Non-Fatal "," Substantial "," No "," Instructional "
"306",2017-11-02," MA "," 42.594166 "," -72.524723 "," Non-Fatal "," Substantial "," No "," Personal "
"309",2017-10-31," NC "," 34.263889 "," -78.726945 "," Fatal"," Substantial "," No "," Personal "
"311",2017-10-30," CA ","  ","  "," Non-Fatal "," Substantial "," Yes "," Personal "
"312",2017-10-30," WA "," 48.049722 "," -122.796666 "," Non-Fatal "," Substantial "," No "," Personal "
"317",2017-10-28," WA ","  ","  "," Non-Fatal "," Substantial "," No "," Personal "
"318",2017-10-28," AZ "," 33.264167 "," -111.820000 "," Non-Fatal "," Substantial "," Yes "," Personal "
"319",2017-10-28," AK "," 61.843055 "," -151.110000 "," Non-Fatal "," Substantial "," No "," Personal "
"320",2017-10-27," FL "," 30.396666 "," -84.350833 "," Non-Fatal "," Substantial "," No "," Personal "
"321",2017-10-27," NY "," 42.861944 "," -78.716667 "," Non-Fatal "," Substantial "," No "," Instructional "
"323",2017-10-26," WA "," 46.190555 "," -119.941944 "," Non-Fatal "," Substantial "," No "," Instructional "
"324",2017-10-26," ID "," 46.374445 "," -117.015278 "," Non-Fatal "," Substantial "," No "," Personal "
"325",2017-10-26," TN "," 36.468611 "," -82.415278 "," Non-Fatal "," Substantial "," Yes "," Personal "
"326",2017-10-24," CA "," 37.816667 "," -121.456389 "," Non-Fatal "," Substantial "," No "," Personal "
"327",2017-10-24," WA "," 48.147777 "," -122.016667 "," Fatal"," Substantial "," No "," Personal "
"333",2017-10-23," CO "," 39.635555 "," -106.946944 "," Non-Fatal "," Substantial "," No "," Personal "
"334",2017-10-22," PA "," 41.239166 "," -76.930556 "," Non-Fatal "," Substantial "," No "," Personal "
"335",2017-10-22," PA "," 40.705278 "," -76.377500 "," Non-Fatal "," Substantial "," No "," Personal "
"336",2017-10-22," OH "," 39.691111 "," -83.991944 "," Non-Fatal "," Substantial "," No "," Personal "
"337",2017-10-22," CA "," 36.662500 "," -121.613611 "," Non-Fatal "," Substantial "," No "," Personal "
"340",2017-10-21," AZ "," 33.052500 "," -112.170834 "," Non-Fatal "," Substantial "," No "," Personal "
"341",2017-10-21," CA "," 32.943333 "," -116.764444 "," Fatal"," Destroyed "," No "," Instructional "
"342",2017-10-21," NC "," 35.073611 "," -77.042500 "," Non-Fatal "," Substantial "," No "," Personal "
"343",2017-10-21," NV "," 40.761667 "," -119.211944 "," Non-Fatal "," Substantial "," No "," Personal "
"345",2017-10-20," CA "," 37.515833 "," -122.253889 "," Non-Fatal "," Substantial "," No "," Personal "
"346",2017-10-20," VA "," 37.356111 "," -78.438611 "," Non-Fatal "," Substantial "," Yes "," Personal "
"347",2017-10-20," VA "," 37.356111 "," -78.438611 "," Non-Fatal "," Substantial "," Yes "," Personal "
"348",2017-10-19," AZ "," 32.368611 "," -109.566111 "," Fatal"," Substantial "," Yes "," Personal "
"351",2017-10-18," NY "," 42.305278 "," -75.408889 "," Non-Fatal "," Substantial "," Yes "," Personal "
"353",2017-10-18," NC "," 35.923056 "," -75.695833 "," Non-Fatal "," Substantial "," No "," Instructional "
"355",2017-10-17," NJ "," 40.331111 "," -74.344722 "," Non-Fatal "," Substantial "," No "," Instructional "
"359",2017-10-16," OH "," 41.453611 "," -80.692777 "," Non-Fatal "," Substantial "," No "," Personal "
"360",2017-10-16," AK "," 61.640000 "," -161.445555 "," Fatal"," Destroyed "," No "," Personal "
"362",2017-10-15," WA "," 47.328611 "," -122.226667 "," Non-Fatal "," Substantial "," No "," Instructional "
"363",2017-10-15," AL "," 32.460556 "," -85.680000 "," Non-Fatal "," Substantial "," No "," Personal "
"364",2017-10-14," WA "," 46.473889 "," -119.042777 "," Non-Fatal "," Substantial "," Yes "," Personal "
"367",2017-10-13," MN "," 45.218056 "," -93.433889 "," Fatal"," Destroyed "," No "," Personal "
"368",2017-10-12," AZ "," 33.307778 "," -111.655556 "," Non-Fatal "," Substantial "," No "," Instructional "
"369",2017-10-12," IL "," 40.563611 "," -90.074167 "," Non-Fatal "," Substantial "," No "," Instructional "
"370",2017-10-12," GA "," 34.018611 "," -85.146389 "," Non-Fatal "," Substantial "," No "," Personal "
"371",2017-10-12," CO ","  ","  "," Non-Fatal "," Substantial "," Yes "," Personal "
"372",2017-10-12," NM "," 32.336944 "," -106.916389 "," Fatal"," Substantial "," No "," Instructional "
"375",2017-10-11," MS "," 30.389444 "," -88.753333 "," Non-Fatal "," Substantial "," Yes "," Personal "
"376",2017-10-09," AZ "," 33.390000 "," -112.380000 "," Non-Fatal "," Substantial "," No "," Personal "
"378",2017-10-09," NM "," 34.761111 "," -106.745000 "," Non-Fatal "," Substantial "," No "," Personal "
"379",2017-10-08," OH "," 41.131667 "," -81.761944 "," Non-Fatal "," Substantial "," No "," Instructional "
"380",2017-10-08," WI "," 44.251944 "," -90.851389 "," Non-Fatal "," Substantial "," No "," Personal "
"383",2017-10-08," TX "," 34.211667 "," -99.289166 "," Fatal"," Destroyed "," No "," Personal "
"384",2017-10-07," AZ "," 32.142222 "," -111.174445 "," Non-Fatal "," Minor "," No "," Personal "
"385",2017-10-07," AZ "," 32.142222 "," -111.174445 "," Non-Fatal "," Substantial "," Yes "," Personal "
"386",2017-10-07," AK "," 58.830000 "," -159.531945 "," Non-Fatal "," Substantial "," No "," Personal "
"387",2017-10-07," VA "," 37.588055 "," -76.474445 "," Non-Fatal "," Substantial "," No "," Personal "
"390",2017-10-06," NV "," 36.209444 "," -115.192777 "," Non-Fatal "," Substantial "," No "," Instructional "
"393",2017-10-06," MI "," 42.664722 "," -83.423056 "," Non-Fatal "," Substantial "," No "," Personal "
"395",2017-10-06," PA "," 40.890277 "," -77.602222 "," Non-Fatal "," Substantial "," No "," Instructional "
"396",2017-10-05," CA "," 34.213889 "," -119.084166 "," Non-Fatal "," Substantial "," Yes "," Personal "
"397",2017-10-05," KY "," 37.824445 "," -85.493333 "," Fatal"," Substantial "," Yes "," Personal "
"399",2017-10-04," SC "," 33.496389 "," -79.957222 "," Fatal"," Destroyed "," No "," Personal "
"400",2017-10-04," MN "," 44.855833 "," -93.483889 "," Fatal"," Destroyed "," Yes "," Personal "
"401",2017-10-03," CA ","  ","  "," Non-Fatal "," Substantial "," No "," Instructional "
"402",2017-10-03," WA "," 46.566667 "," -120.535833 "," Non-Fatal "," Substantial "," No "," Instructional "
"404",2017-10-02," NV "," 38.510000 "," -115.620000 "," Non-Fatal "," Substantial "," No "," Personal "
"405",2017-10-02," PR "," 18.456667 "," -66.098333 "," Fatal"," Substantial "," No "," Personal "
"406",2017-10-02," TX "," 28.861389 "," -98.350278 "," Non-Fatal "," Substantial "," Yes "," Personal "
"407",2017-10-01," OR "," 42.253611 "," -122.265556 "," Fatal"," Destroyed "," No "," Personal "
